#TYPE System.Management.Automation.PSCustomObject
"technique_id","technique_name","event_id","event_name","link_text","source_name","sec_rec_name"
"T1016","System Network Configuration Discovery","327",,,,
"T1016","System Network Configuration Discovery","328",,,,
"T1016","System Network Configuration Discovery","329",,,,
"T1016","System Network Configuration Discovery","330",,,,
"T1016","System Network Configuration Discovery","331",,,,
"T1016","System Network Configuration Discovery","332",,,,
"T1016","System Network Configuration Discovery","333",,,,
"T1016","System Network Configuration Discovery","334",,,,
"T1016","System Network Configuration Discovery","335",,,,
"T1016","System Network Configuration Discovery","336",,,,
"T1016","System Network Configuration Discovery","337",,,,
"T1016","System Network Configuration Discovery","338",,,,
"T1016","System Network Configuration Discovery","339",,,,
"T1016","System Network Configuration Discovery","340",,,,
"T1016","System Network Configuration Discovery","341",,,,
"T1016","System Network Configuration Discovery","342",,,,
"T1016","System Network Configuration Discovery","343",,,,
"T1016","System Network Configuration Discovery","344",,,,
"T1016","System Network Configuration Discovery","345",,,,
"T1016","System Network Configuration Discovery","346",,,,
"T1016","System Network Configuration Discovery","347",,,,
"T1016","System Network Configuration Discovery","348",,,,
"T1016","System Network Configuration Discovery","349",,,,
"T1016","System Network Configuration Discovery","350",,,,
"T1016","System Network Configuration Discovery","351",,,,
"T1016","System Network Configuration Discovery","352",,,,
"T1016","System Network Configuration Discovery","353",,,,
"T1016","System Network Configuration Discovery","354",,,,
"T1016","System Network Configuration Discovery","355",,,,
"T1016","System Network Configuration Discovery","356",,,,
"T1016","System Network Configuration Discovery","357",,,,
"T1016","System Network Configuration Discovery","358",,,,
"T1016","System Network Configuration Discovery","359",,,,
"T1016","System Network Configuration Discovery","360",,,,
"T1016","System Network Configuration Discovery","361",,,,
"T1016","System Network Configuration Discovery","362",,,,
"T1016","System Network Configuration Discovery","363",,,,
"T1016","System Network Configuration Discovery","364",,,,
"T1016","System Network Configuration Discovery","365",,,,
"T1016","System Network Configuration Discovery","366",,,,
"T1016","System Network Configuration Discovery","367",,,,
"T1016","System Network Configuration Discovery","368",,,,
"T1016","System Network Configuration Discovery","369",,,,
"T1016","System Network Configuration Discovery","370",,,,
"T1016","System Network Configuration Discovery","371",,,,
"T1016","System Network Configuration Discovery","372",,,,
"T1016","System Network Configuration Discovery","373",,,,
"T1016","System Network Configuration Discovery","374",,,,
"T1016","System Network Configuration Discovery","375",,,,
"T1016","System Network Configuration Discovery","376",,,,
"T1016","System Network Configuration Discovery","377",,,,
"T1016","System Network Configuration Discovery","378",,,,
"T1016","System Network Configuration Discovery","379",,,,
"T1016","System Network Configuration Discovery","380",,,,
"T1016","System Network Configuration Discovery","381",,,,
"T1016","System Network Configuration Discovery","382",,,,
"T1016","System Network Configuration Discovery","383",,,,
"T1016","System Network Configuration Discovery","384",,,,
"T1016","System Network Configuration Discovery","385",,,,
"T1016","System Network Configuration Discovery","386",,,,
"T1016","System Network Configuration Discovery","387",,,,
"T1016","System Network Configuration Discovery","388",,,,
"T1016","System Network Configuration Discovery","389",,,,
"T1016","System Network Configuration Discovery","390",,,,
"T1016","System Network Configuration Discovery","391",,,,
"T1016","System Network Configuration Discovery","392",,,,
"T1016","System Network Configuration Discovery","393",,,,
"T1016","System Network Configuration Discovery","394",,,,
"T1016","System Network Configuration Discovery","395",,,,
"T1016","System Network Configuration Discovery","396",,,,
"T1016","System Network Configuration Discovery","397",,,,
"T1016","System Network Configuration Discovery","398",,,,
"T1016","System Network Configuration Discovery","399",,,,
"T1016","System Network Configuration Discovery","400",,,,
"T1016","System Network Configuration Discovery","401",,,,
"T1016","System Network Configuration Discovery","402",,,,
"T1016","System Network Configuration Discovery","403",,,,
"T1016","System Network Configuration Discovery","404",,,,
"T1016","System Network Configuration Discovery","405",,,,
"T1016","System Network Configuration Discovery","406",,,,
"T1016","System Network Configuration Discovery","407",,,,
"T1016","System Network Configuration Discovery","408",,,,
"T1016","System Network Configuration Discovery","409",,,,
"T1016","System Network Configuration Discovery","410",,,,
"T1016","System Network Configuration Discovery","411",,,,
"T1016","System Network Configuration Discovery","412",,,,
"T1016","System Network Configuration Discovery","413",,,,
"T1016","System Network Configuration Discovery","414",,,,
"T1016","System Network Configuration Discovery","415",,,,
"T1016","System Network Configuration Discovery","416",,,,
"T1016","System Network Configuration Discovery","417",,,,
"T1016","System Network Configuration Discovery","418",,,,
"T1016","System Network Configuration Discovery","419",,,,
"T1016","System Network Configuration Discovery","420",,,,
"T1016","System Network Configuration Discovery","421",,,,
"T1016","System Network Configuration Discovery","422",,,,
"T1016","System Network Configuration Discovery","423",,,,
"T1016","System Network Configuration Discovery","424",,,,
"T1016","System Network Configuration Discovery","425",,,,
"T1016","System Network Configuration Discovery","426",,,,
"T1016","System Network Configuration Discovery","427",,,,
"T1016","System Network Configuration Discovery","428",,,,
"T1016","System Network Configuration Discovery","429",,,,
"T1016","System Network Configuration Discovery","430",,,,
"T1016","System Network Configuration Discovery","431",,,,
"T1016","System Network Configuration Discovery","432",,,,
"T1016","System Network Configuration Discovery","433",,,,
"T1016","System Network Configuration Discovery","434",,,,
"T1016","System Network Configuration Discovery","435",,,,
"T1016","System Network Configuration Discovery","436",,,,
"T1016","System Network Configuration Discovery","437",,,,
"T1016","System Network Configuration Discovery","438",,,,
"T1016","System Network Configuration Discovery","439",,,,
"T1016","System Network Configuration Discovery","440",,,,
"T1016","System Network Configuration Discovery","441",,,,
"T1016","System Network Configuration Discovery","442",,,,
"T1016","System Network Configuration Discovery","443",,,,
"T1016","System Network Configuration Discovery","444",,,,
"T1016","System Network Configuration Discovery","445",,,,
"T1016","System Network Configuration Discovery","446",,,,
"T1016","System Network Configuration Discovery","447",,,,
"T1016","System Network Configuration Discovery","448",,,,
"T1016","System Network Configuration Discovery","449",,,,
"T1016","System Network Configuration Discovery","450",,,,
"T1016","System Network Configuration Discovery","451",,,,
"T1016","System Network Configuration Discovery","452",,,,
"T1016","System Network Configuration Discovery","453",,,,
"T1016","System Network Configuration Discovery","454",,,,
"T1016","System Network Configuration Discovery","455",,,,
"T1016","System Network Configuration Discovery","456",,,,
"T1016","System Network Configuration Discovery","457",,,,
"T1016","System Network Configuration Discovery","458",,,,
"T1016","System Network Configuration Discovery","459",,,,
"T1016","System Network Configuration Discovery","460",,,,
"T1016","System Network Configuration Discovery","461",,,,
"T1016","System Network Configuration Discovery","462",,,,
"T1016","System Network Configuration Discovery","463",,,,
"T1016","System Network Configuration Discovery","464",,,,
"T1016","System Network Configuration Discovery","465",,,,
"T1016","System Network Configuration Discovery","466",,,,
"T1016","System Network Configuration Discovery","467",,,,
"T1016","System Network Configuration Discovery","468",,,,
"T1016","System Network Configuration Discovery","469",,,,
"T1016","System Network Configuration Discovery","470",,,,
"T1016","System Network Configuration Discovery","471",,,,
"T1016","System Network Configuration Discovery","472",,,,
"T1016","System Network Configuration Discovery","473",,,,
"T1016","System Network Configuration Discovery","474",,,,
"T1016","System Network Configuration Discovery","475",,,,
"T1016","System Network Configuration Discovery","476",,,,
"T1016","System Network Configuration Discovery","477",,,,
"T1016","System Network Configuration Discovery","478",,,,
"T1016","System Network Configuration Discovery","479",,,,
"T1016","System Network Configuration Discovery","480",,,,
"T1016","System Network Configuration Discovery","481",,,,
"T1016","System Network Configuration Discovery","482",,,,
"T1016","System Network Configuration Discovery","483",,,,
"T1016","System Network Configuration Discovery","484",,,,
"T1016","System Network Configuration Discovery","485",,,,
"T1016","System Network Configuration Discovery","486",,,,
"T1016","System Network Configuration Discovery","487",,,,
"T1016","System Network Configuration Discovery","488",,,,
"T1016","System Network Configuration Discovery","489",,,,
"T1016","System Network Configuration Discovery","490",,,,
"T1016","System Network Configuration Discovery","491",,,,
"T1016","System Network Configuration Discovery","492",,,,
"T1016","System Network Configuration Discovery","493",,,,
"T1016","System Network Configuration Discovery","494",,,,
"T1016","System Network Configuration Discovery","495",,,,
"T1016","System Network Configuration Discovery","496",,,,
"T1016","System Network Configuration Discovery","497",,,,
"T1016","System Network Configuration Discovery","498",,,,
"T1016","System Network Configuration Discovery","499",,,,
"T1016","System Network Configuration Discovery","500",,,,
"T1016","System Network Configuration Discovery","4100",,,,
"T1016","System Network Configuration Discovery","4101",,,,
"T1016","System Network Configuration Discovery","4102",,,,
"T1016","System Network Configuration Discovery","4103",,,,
"T1016","System Network Configuration Discovery","4104",,,,
"T1033","System Owner/User Discovery","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1217","Browser Bookmark Discovery","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1083","File and Directory Discovery","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1063","Security Software Discovery","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1033","System Owner/User Discovery","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1087","Account Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1010","Application Window Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1217","Browser Bookmark Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1083","File and Directory Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1046","Network Service Scanning","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1135","Network Share Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1201","Password Policy Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1120","Peripheral Device Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1069","Permission Groups Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1057","Process Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
